| family | W | T | status | D | p* | p2 | margin | expF | expF/D | gen | gen/(0.1 T²W²) | (W-2)^(T/2) | sec | backend |
|---|--:|--:|---|--:|--:|--:|--:|--:|--:|--:|--:|--:|--:|---|
| peaky0.5 | 5 | 16 | ok | 4 | 3.434e-04 | 3.434e-04 | 1 | 60 | 15.00 | 2708 | 4.23 | 6.56e+03 | 0.00 | c |
| peaky0.5 | 5 | 32 | ok | 9 | 1.653e-07 | 1.652e-07 | 1.001 | 726 | 80.67 | 54300 | 21.21 | 4.3e+07 | 0.01 | c |
| peaky0.5 | 5 | 64 | CAP (gen_cap) | - | - | - | - | - | - | >5000000 | >488.28 | 1.85e+15 | 0.89 | c |
| peaky0.5 | 5 | 128 | CAP (gen_cap) | - | - | - | - | - | - | >5000000 | >122.07 | 3.43e+30 | 1.13 | c |
| peaky0.5 | 32 | 16 | ok | 3 | 1.891e-05 | 3.773e-06 | 5.014 | 96 | 32.00 | 30752 | 1.17 | 6.56e+11 | 0.00 | c |
| peaky0.5 | 32 | 32 | ok | 11 | 3.738e-10 | 8.577e-11 | 4.358 | 100 | 9.09 | 132525 | 1.26 | 4.3e+23 | 0.04 | c |
| peaky0.5 | 32 | 64 | ok | 10 | 1.139e-19 | 6.407e-20 | 1.778 | 11 | 1.10 | 221061 | 0.53 | 1.85e+47 | 0.11 | c |
| peaky0.5 | 32 | 128 | ok | 35 | 1.901e-38 | 9.405e-39 | 2.021 | 53 | 1.51 | 2036948 | 1.21 | 3.43e+94 | 1.95 | c |
| peaky0.6 | 5 | 16 | ok | 4 | 1.530e-03 | 1.455e-03 | 1.052 | 5 | 1.25 | 316 | 0.49 | 6.56e+03 | 0.00 | c |
| peaky0.6 | 5 | 32 | ok | 10 | 4.976e-06 | 4.914e-06 | 1.013 | 47 | 4.70 | 6348 | 2.48 | 4.3e+07 | 0.00 | c |
| peaky0.6 | 5 | 64 | ok | 21 | 1.811e-11 | 1.807e-11 | 1.002 | 311 | 14.81 | 111112 | 10.85 | 1.85e+15 | 0.03 | c |
| peaky0.6 | 5 | 128 | ok | 38 | 4.575e-22 | 4.570e-22 | 1.001 | 3336 | 87.79 | 3450184 | 84.23 | 3.43e+30 | 0.98 | c |
| peaky0.6 | 32 | 16 | ok | 3 | 3.115e-04 | 6.782e-05 | 4.593 | 94 | 31.33 | 36456 | 1.39 | 6.56e+11 | 0.00 | c |
| peaky0.6 | 32 | 32 | ok | 12 | 1.194e-07 | 1.520e-08 | 7.85 | 22 | 1.83 | 202089 | 1.93 | 4.3e+23 | 0.04 | c |
| peaky0.6 | 32 | 64 | ok | 18 | 1.087e-14 | 2.814e-15 | 3.861 | 88 | 4.89 | 599912 | 1.43 | 1.85e+47 | 0.23 | c |
| peaky0.6 | 32 | 128 | ok | 35 | 1.358e-28 | 5.597e-29 | 2.426 | 59 | 1.69 | 2436848 | 1.45 | 3.43e+94 | 2.23 | c |
| peaky0.8 | 5 | 16 | ok | 3 | 4.509e-02 | 1.911e-02 | 2.359 | 4 | 1.33 | 356 | 0.56 | 6.56e+03 | 0.00 | c |
| peaky0.8 | 5 | 32 | ok | 11 | 2.460e-03 | 9.524e-04 | 2.583 | 34 | 3.09 | 3304 | 1.29 | 4.3e+07 | 0.00 | c |
| peaky0.8 | 5 | 64 | ok | 16 | 7.599e-06 | 5.482e-06 | 1.386 | 25 | 1.56 | 8076 | 0.79 | 1.85e+15 | 0.00 | c |
| peaky0.8 | 5 | 128 | ok | 36 | 3.138e-11 | 1.906e-11 | 1.646 | 61 | 1.69 | 39368 | 0.96 | 3.43e+30 | 0.02 | c |
| peaky0.8 | 32 | 16 | ok | 2 | 2.888e-02 | 2.806e-03 | 10.29 | 4 | 2.00 | 21204 | 0.81 | 6.56e+11 | 0.00 | c |
| peaky0.8 | 32 | 32 | ok | 7 | 8.625e-04 | 5.595e-05 | 15.42 | 66 | 9.43 | 111383 | 1.06 | 4.3e+23 | 0.03 | c |
| peaky0.8 | 32 | 64 | ok | 18 | 7.799e-07 | 5.675e-08 | 13.74 | 19 | 1.06 | 538191 | 1.28 | 1.85e+47 | 0.22 | c |
| peaky0.8 | 32 | 128 | ok | 41 | 6.692e-13 | 5.967e-14 | 11.22 | 51 | 1.24 | 2228838 | 1.33 | 3.43e+94 | 2.30 | c |
| peaky0.9 | 5 | 16 | ok | 6 | 2.409e-01 | 2.055e-02 | 11.72 | 19 | 3.17 | 868 | 1.36 | 6.56e+03 | 0.00 | c |
| peaky0.9 | 5 | 32 | ok | 13 | 5.038e-02 | 9.816e-03 | 5.132 | 26 | 2.00 | 3572 | 1.40 | 4.3e+07 | 0.00 | c |
| peaky0.9 | 5 | 64 | ok | 18 | 3.075e-03 | 6.132e-04 | 5.015 | 79 | 4.39 | 10160 | 0.99 | 1.85e+15 | 0.00 | c |
| peaky0.9 | 5 | 128 | ok | 32 | 5.836e-06 | 2.409e-06 | 2.422 | 57 | 1.78 | 32084 | 0.78 | 3.43e+30 | 0.02 | c |
| peaky0.9 | 32 | 16 | ok | 6 | 1.887e-01 | 4.066e-03 | 46.43 | 123 | 20.50 | 49755 | 1.90 | 6.56e+11 | 0.01 | c |
| peaky0.9 | 32 | 32 | ok | 12 | 3.638e-02 | 7.842e-04 | 46.39 | 19 | 1.58 | 207824 | 1.98 | 4.3e+23 | 0.04 | c |
| peaky0.9 | 32 | 64 | ok | 20 | 1.306e-03 | 3.752e-05 | 34.8 | 37 | 1.85 | 614606 | 1.47 | 1.85e+47 | 0.27 | c |
| peaky0.9 | 32 | 128 | ok | 35 | 1.692e-06 | 7.298e-08 | 23.18 | 55 | 1.57 | 2128274 | 1.27 | 3.43e+94 | 2.10 | c |
| flat | 5 | 16 | ok | 7 | 5.356e-06 | 5.356e-06 | 1 | 4373 | 624.71 | 69844 | 109.13 | 6.56e+03 | 0.00 | c |
| flat | 5 | 32 | CAP (gen_cap) | - | - | - | - | - | - | >5000000 | >1953.12 | 4.3e+07 | 0.41 | c |
| flat | 5 | 64 | CAP (gen_cap) | - | - | - | - | - | - | >5000000 | >488.28 | 1.85e+15 | 0.53 | c |
| flat | 5 | 128 | CAP (gen_cap) | - | - | - | - | - | - | >5000000 | >122.07 | 3.43e+30 | 0.67 | c |
| flat | 32 | 16 | CAP (gen_cap) | - | - | - | - | - | - | >5000021 | >190.74 | 6.56e+11 | 0.20 | c |
| flat | 32 | 32 | CAP (gen_cap) | - | - | - | - | - | - | >5000021 | >47.68 | 4.3e+23 | 0.26 | c |
| flat | 32 | 64 | CAP (gen_cap) | - | - | - | - | - | - | >5000021 | >11.92 | 1.85e+47 | 0.31 | c |
| flat | 32 | 128 | CAP (gen_cap) | - | - | - | - | - | - | >5000021 | >2.98 | 3.43e+94 | 0.37 | c |
